problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;443.0;110837421.0;0.0;0.002691030502319336;0.46272802352905273;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;464.0;110860143.0;0.0;0.0026950836181640625;1.015570878982544;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;321.0;101128817.0;0.0;0.002736806869506836;0.29862093925476074;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;396.0;105551376.0;0.0;0.0027000904083251953;0.3663632869720459;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;477.0;110796891.0;0.0;0.002696990966796875;1.007385015487671;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;9;203.0;100334438.0;0.0;0.0027189254760742188;0.2970120906829834;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;452.0;104646463.0;0.0;0.0026900768280029297;0.34223270416259766;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;465.0;109593636.0;0.0;0.0027081966400146484;0.9865424633026123;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;200.0;98133407.0;0.0;0.002722024917602539;0.2983889579772949;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;485.0;104359795.0;0.0;0.0027053356170654297;0.4439554214477539;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;447.0;111711385.0;0.0;0.0026810169219970703;0.9500582218170166;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;261.0;105024577.0;0.0;0.0027391910552978516;0.24732708930969238;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;427.0;109450483.0;0.0;0.0026979446411132812;0.36759114265441895;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;466.0;109584653.0;0.0;0.002696990966796875;0.9147326946258545;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;269.0;104836285.0;0.0;0.0027370452880859375;0.24454212188720703;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;446.0;108530506.0;0.0;0.002743959426879883;0.3997809886932373;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;17;537.0;107214330.0;0.0;0.002707242965698242;0.9940314292907715;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;320.0;107388423.0;0.0;0.0027239322662353516;0.2750861644744873;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;360.0;100376961.0;0.0;0.0027348995208740234;0.32408595085144043;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;475.0;109538126.0;0.0;0.0026848316192626953;1.0040607452392578;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;265.0;99503592.0;0.0;0.002750873565673828;0.2690255641937256;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;461.0;110720055.0;0.0;0.0027151107788085938;0.43677711486816406;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;493.0;104875761.0;0.0;0.002725839614868164;1.020026683807373;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;276.0;101596100.0;0.0;0.002727985382080078;0.288837194442749;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;408.0;104504457.0;0.0;0.0026960372924804688;0.3818349838256836;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;499.0;110983917.0;0.0;0.002680063247680664;0.9905722141265869;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;259.0;106526387.0;0.0;0.0026922225952148438;0.2886941432952881;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;518.0;102574597.0;0.0;0.0026922225952148438;0.3740661144256592;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Cross;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;17;518.0;107691896.0;0.0;0.002695322036743164;0.9934415817260742;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;297.0;98614329.0;0.0;0.00273895263671875;0.26204991340637207;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;478.0;108985016.0;0.0;0.0027091503143310547;0.3458120822906494;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;523.0;108387566.0;0.0;0.002707242965698242;1.011216163635254;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;328.0;111946205.0;0.0;0.0027108192443847656;0.26238560676574707;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;371.0;88926185.0;0.0;0.0026848316192626953;0.32676148414611816;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;499.0;106548824.0;0.0;0.0027070045471191406;0.9654011726379395;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;261.0;95152805.0;0.0;0.002735137939453125;0.31635212898254395;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;480.0;106551910.0;0.0;0.0027070045471191406;0.43459582328796387;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;16;505.0;106224118.0;0.0;0.0027010440826416016;1.0529999732971191;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;320.0;107729258.0;0.0;0.002708911895751953;0.32079577445983887;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;455.0;110617603.0;0.0;0.0026810169219970703;0.41625404357910156;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;16;510.0;108304904.0;0.0;0.002708911895751953;1.1128997802734375;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;347.0;98360148.0;0.0;0.002752065658569336;0.26973819732666016;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;414.0;105818706.0;0.0;0.0027170181274414062;0.384246826171875;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;484.0;111020053.0;0.0;0.002749204635620117;0.9704391956329346;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;240.0;108243004.0;0.0;0.0027360916137695312;0.26534509658813477;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;ReplaceInsert;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;460.0;106410268.0;0.0;0.00267791748046875;0.3403587341308594;
