problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;191.0;97198130.0;0.0;0.002702951431274414;0.25798702239990234;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;522.0;106704222.0;0.0;0.0026276111602783203;0.3268463611602783;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;16;530.0;107377795.0;0.0;0.002649068832397461;0.9163181781768799;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;315.0;98529557.0;0.0;0.0026540756225585938;0.2584080696105957;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;492.0;107097339.0;0.0;0.0026586055755615234;0.3102107048034668;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;467.0;111290364.0;0.0;0.0026350021362304688;0.8921170234680176;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;264.0;108987911.0;0.0;0.0026578903198242188;0.2917449474334717;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;478.0;104510615.0;0.0;0.002610921859741211;0.3750290870666504;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;467.0;110325811.0;0.0;0.002647876739501953;0.950786828994751;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;346.0;110875507.0;0.0;0.0026319026947021484;0.2930006980895996;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;487.0;109048517.0;0.0;0.0026459693908691406;0.4919149875640869;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;527.0;106750722.0;0.0;0.0026519298553466797;0.9787189960479736;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;365.0;108306032.0;0.0;0.0026412010192871094;0.29203248023986816;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;385.0;105493172.0;0.0;0.0026407241821289062;0.33341073989868164;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;463.0;111927639.0;0.0;0.0026197433471679688;0.9499185085296631;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Relocate;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;10;288.0;113324772.0;0.0;0.0026519298553466797;0.2903149127960205;
